Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,23.620001,23.719999,22.540001,22.730000,22.730000,10849500
2021-10-05,22.790001,22.879999,21.959999,22.530001,22.530001,9055200
2021-10-06,22.530001,23.309999,22.309999,22.980000,22.980000,9677800
2021-10-07,23.030001,23.660000,22.840000,23.209999,23.209999,6855700
2021-10-08,23.190001,23.738001,22.879999,23.120001,23.120001,5154600
2021-10-11,23.070000,23.780001,23.020000,23.219999,23.219999,4948500
2021-10-12,23.400000,23.950001,23.094999,23.510000,23.510000,5406000
2021-10-13,23.650000,24.129999,23.530001,23.940001,23.940001,6339500
2021-10-14,24.250000,24.320000,23.584999,24.059999,24.059999,12932300
2021-10-15,20.469999,21.320000,19.870001,20.010000,20.010000,59068600
2021-10-18,19.040001,19.920000,19.000000,19.719999,19.719999,25100300
2021-10-19,19.500000,20.080000,19.205000,19.840000,19.840000,15227800
2021-10-20,19.760000,20.540001,19.660000,20.150000,20.150000,11115100
2021-10-21,20.209999,20.760000,19.860001,20.150000,20.150000,9978400
2021-10-22,20.000000,20.010000,19.230000,19.660000,19.660000,8635500
2021-10-25,19.740000,20.530001,19.629999,20.040001,20.040001,11296100
2021-10-26,20.040001,20.260000,19.490000,19.610001,19.610001,10847000
2021-10-27,18.799999,18.910000,17.980000,18.240000,18.240000,21577500
2021-10-28,18.360001,18.725000,18.295000,18.559999,18.559999,10401300
2021-10-29,18.650000,19.080000,18.584999,18.750000,18.750000,8307900
2021-11-01,18.860001,19.680000,18.690001,19.549999,19.549999,9701900
2021-11-02,19.400000,19.600000,18.940001,19.600000,19.600000,7911700
2021-11-03,19.510000,20.040001,19.450001,19.940001,19.940001,9040100
2021-11-04,20.030001,20.200001,19.450001,19.620001,19.620001,8253000
2021-11-05,19.660000,19.910000,19.105000,19.530001,19.530001,7411200
2021-11-08,19.320000,20.020000,19.290001,19.889999,19.889999,11882600
2021-11-09,19.889999,21.680000,19.330000,20.900000,20.900000,26605300
2021-11-10,20.570000,21.490000,19.950001,20.260000,20.260000,12948700
2021-11-11,19.309999,19.540001,19.080000,19.270000,19.270000,15965700
2021-11-12,19.299999,19.530001,19.150000,19.219999,19.219999,7009000
2021-11-15,19.200001,19.504999,18.969999,19.000000,19.000000,11356100
2021-11-16,18.750000,18.806000,18.177999,18.320000,18.320000,15359000
2021-11-17,18.320000,18.549999,17.730000,17.910000,17.910000,11587300
2021-11-18,17.969999,18.000000,17.170000,17.379999,17.379999,9551100
2021-11-19,17.400000,17.709999,17.059999,17.250000,17.250000,8673800
2021-11-22,17.455000,17.650000,16.830000,17.080000,17.080000,9344300
2021-11-23,17.040001,17.340000,16.365000,16.830000,16.830000,10241600
2021-11-24,16.709999,17.215000,16.230000,17.030001,17.030001,6988300
2021-11-26,16.420000,17.150000,16.340000,16.730000,16.730000,5409600
2021-11-29,16.780001,16.850000,15.980000,16.250000,16.250000,10278200
2021-11-30,16.090000,16.440001,15.330000,16.000000,16.000000,11979000
2021-12-01,16.225000,16.420000,14.800000,14.860000,14.860000,12880000
2021-12-02,14.930000,15.450000,14.441000,15.080000,15.080000,12985500
2021-12-03,15.080000,15.080000,14.020000,14.370000,14.370000,12958800
2021-12-06,14.190000,14.900000,13.685000,14.640000,14.640000,13114800
2021-12-07,15.000000,15.880000,14.960000,15.620000,15.620000,11251000
2021-12-08,15.700000,16.540001,15.297000,16.240000,16.240000,9800200
2021-12-09,16.040001,16.559999,15.560000,15.640000,15.640000,7069700
2021-12-10,15.700000,16.049999,15.040000,15.210000,15.210000,6349300
2021-12-13,15.170000,15.550000,14.470000,14.810000,14.810000,7375200
2021-12-14,14.480000,15.080000,14.360000,14.650000,14.650000,7526000
2021-12-15,14.570000,14.940000,13.765000,14.770000,14.770000,12518500
2021-12-16,14.890000,15.200000,14.080000,14.300000,14.300000,10235000
2021-12-17,14.230000,14.745000,13.520000,14.460000,14.460000,15631500
2021-12-20,13.990000,14.250000,13.601000,13.930000,13.930000,10324300
2021-12-21,13.930000,14.670000,13.860000,14.630000,14.630000,9863000
2021-12-22,14.560000,14.750000,14.250000,14.600000,14.600000,5879200
2021-12-23,14.600000,14.650000,14.145000,14.530000,14.530000,5963900
2021-12-27,14.430000,14.570000,13.910000,14.070000,14.070000,9247900
2021-12-28,14.010000,14.389000,13.780000,13.810000,13.810000,8452900
2021-12-29,13.710000,13.770000,12.860000,13.040000,13.040000,15971400
2021-12-30,12.960000,14.220000,12.950000,13.830000,13.830000,14674000
2021-12-31,13.730000,14.200000,13.354000,13.380000,13.380000,10225300
2022-01-03,13.480000,13.735000,12.890000,13.540000,13.540000,12474900
2022-01-04,13.640000,13.650000,12.895000,13.210000,13.210000,12804800
2022-01-05,13.020000,13.330000,11.980000,12.050000,12.050000,16690700
2022-01-06,12.170000,12.346000,11.300000,11.780000,11.780000,16056700
2022-01-07,12.000000,12.805000,11.920000,12.450000,12.450000,15906300
2022-01-10,12.430000,12.460000,11.695000,11.970000,11.970000,16469200
2022-01-11,12.040000,12.550000,11.810000,12.390000,12.390000,9942500
2022-01-12,12.470000,12.700000,12.060000,12.370000,12.370000,9501100
2022-01-13,10.920000,10.990000,10.015000,10.030000,10.030000,70536000
2022-01-14,9.890000,10.160000,9.750000,10.140000,10.140000,39518700
2022-01-18,10.030000,10.060000,9.330000,9.370000,9.370000,24038400
2022-01-19,9.550000,9.720000,9.020000,9.090000,9.090000,21176700
2022-01-20,9.215000,9.810000,9.090000,9.100000,9.100000,17954100
2022-01-21,9.050000,9.185000,8.460000,8.470000,8.470000,23620400
2022-01-24,8.110000,8.610000,7.580000,8.600000,8.600000,26558100
2022-01-25,8.450000,8.700000,8.170000,8.480000,8.480000,16177000
2022-01-26,8.710000,9.145000,8.370000,8.440000,8.440000,17476700
2022-01-27,8.490000,8.759000,7.850000,7.960000,7.960000,14614900
2022-01-28,7.980000,8.150000,7.610000,8.140000,8.140000,14041700
2022-01-31,8.250000,9.230000,8.240000,9.200000,9.200000,15748200
2022-02-01,9.500000,9.840000,9.150000,9.720000,9.720000,14935600
2022-02-02,9.650000,9.800000,9.161000,9.370000,9.370000,12013100
